PID,seed_id,zoo_id,zoo_type,test_id,test_type,response,prims
4,4,20,['A+0'],0,A+0,1,"[2, 1, 3, 5]"
40,2,20,['A+0'],0,A+0,1,"[8, 6, 2, 4]"
1,2,20,['A+0'],0,A+0,1,"[8, 6, 2, 4]"
21,2,20,['A+0'],0,A+0,1,"[8, 6, 2, 4]"
8,2,20,['A+0'],0,A+0,1,"[8, 6, 2, 4]"
2,1,20,['A+0'],0,A+0,1,"[1, 3, 0, 4]"
7,2,20,['A+0'],0,A+0,1,"[8, 6, 2, 4]"
0,2,20,['A+0'],0,A+0,1,"[8, 6, 2, 4]"
33,2,20,['A+0'],0,A+0,1,"[8, 6, 2, 4]"
39,0,20,['A+0'],0,A+0,1,"[0, 4, 6, 7]"
24,4,20,['A+0'],0,A+0,1,"[2, 1, 3, 5]"
3,0,20,['A+0'],0,A+0,1,"[0, 4, 6, 7]"
22,4,20,['A+0'],0,A+0,1,"[2, 1, 3, 5]"
34,4,20,['A+0'],0,A+0,1,"[2, 1, 3, 5]"
29,1,20,['A+0'],0,A+0,1,"[1, 3, 0, 4]"
12,0,20,['A+0'],0,A+0,1,"[0, 4, 6, 7]"
32,4,20,['A+0'],0,A+0,1,"[2, 1, 3, 5]"
14,0,20,['A+0'],0,A+0,1,"[0, 4, 6, 7]"
28,4,20,['A+0'],0,A+0,1,"[2, 1, 3, 5]"
16,0,20,['A+0'],0,A+0,1,"[0, 4, 6, 7]"
5,0,20,['A+0'],0,A+0,1,"[0, 4, 6, 7]"
25,0,20,['A+0'],0,A+0,1,"[0, 4, 6, 7]"
31,2,20,['A+0'],0,A+0,1,"[8, 6, 2, 4]"
38,2,20,['A+0'],0,A+0,1,"[8, 6, 2, 4]"
35,2,20,['A+0'],0,A+0,1,"[8, 6, 2, 4]"
9,2,20,['A+0'],0,A+0,1,"[8, 6, 2, 4]"
37,1,20,['A+0'],0,A+0,1,"[1, 3, 0, 4]"
45,1,20,['A+0'],0,A+0,1,"[1, 3, 0, 4]"
41,1,20,['A+0'],0,A+0,1,"[1, 3, 0, 4]"
30,2,20,['A+0'],0,A+0,1,"[8, 6, 2, 4]"
23,1,20,['A+0'],0,A+0,1,"[1, 3, 0, 4]"
10,3,20,['A+0'],0,A+0,1,"[4, 1, 2, 6]"
4,4,20,['A+0'],1,B+0,0,"[2, 1, 3, 5]"
40,2,20,['A+0'],1,B+0,0,"[8, 6, 2, 4]"
1,2,20,['A+0'],1,B+0,0,"[8, 6, 2, 4]"
21,2,20,['A+0'],1,B+0,0,"[8, 6, 2, 4]"
8,2,20,['A+0'],1,B+0,0,"[8, 6, 2, 4]"
2,1,20,['A+0'],1,B+0,0,"[1, 3, 0, 4]"
7,2,20,['A+0'],1,B+0,0,"[8, 6, 2, 4]"
0,2,20,['A+0'],1,B+0,0,"[8, 6, 2, 4]"
33,2,20,['A+0'],1,B+0,0,"[8, 6, 2, 4]"
39,0,20,['A+0'],1,B+0,0,"[0, 4, 6, 7]"
24,4,20,['A+0'],1,B+0,0,"[2, 1, 3, 5]"
3,0,20,['A+0'],1,B+0,0,"[0, 4, 6, 7]"
22,4,20,['A+0'],1,B+0,1,"[2, 1, 3, 5]"
34,4,20,['A+0'],1,B+0,0,"[2, 1, 3, 5]"
29,1,20,['A+0'],1,B+0,0,"[1, 3, 0, 4]"
12,0,20,['A+0'],1,B+0,0,"[0, 4, 6, 7]"
32,4,20,['A+0'],1,B+0,0,"[2, 1, 3, 5]"
14,0,20,['A+0'],1,B+0,0,"[0, 4, 6, 7]"
28,4,20,['A+0'],1,B+0,0,"[2, 1, 3, 5]"
16,0,20,['A+0'],1,B+0,0,"[0, 4, 6, 7]"
5,0,20,['A+0'],1,B+0,0,"[0, 4, 6, 7]"
25,0,20,['A+0'],1,B+0,0,"[0, 4, 6, 7]"
31,2,20,['A+0'],1,B+0,0,"[8, 6, 2, 4]"
38,2,20,['A+0'],1,B+0,0,"[8, 6, 2, 4]"
35,2,20,['A+0'],1,B+0,0,"[8, 6, 2, 4]"
9,2,20,['A+0'],1,B+0,0,"[8, 6, 2, 4]"
37,1,20,['A+0'],1,B+0,0,"[1, 3, 0, 4]"
45,1,20,['A+0'],1,B+0,0,"[1, 3, 0, 4]"
41,1,20,['A+0'],1,B+0,0,"[1, 3, 0, 4]"
30,2,20,['A+0'],1,B+0,0,"[8, 6, 2, 4]"
23,1,20,['A+0'],1,B+0,0,"[1, 3, 0, 4]"
10,3,20,['A+0'],1,B+0,0,"[4, 1, 2, 6]"
4,4,20,['A+0'],2,C+0,0,"[2, 1, 3, 5]"
40,2,20,['A+0'],2,C+0,0,"[8, 6, 2, 4]"
1,2,20,['A+0'],2,C+0,0,"[8, 6, 2, 4]"
21,2,20,['A+0'],2,C+0,0,"[8, 6, 2, 4]"
8,2,20,['A+0'],2,C+0,0,"[8, 6, 2, 4]"
2,1,20,['A+0'],2,C+0,0,"[1, 3, 0, 4]"
7,2,20,['A+0'],2,C+0,0,"[8, 6, 2, 4]"
0,2,20,['A+0'],2,C+0,0,"[8, 6, 2, 4]"
33,2,20,['A+0'],2,C+0,0,"[8, 6, 2, 4]"
39,0,20,['A+0'],2,C+0,0,"[0, 4, 6, 7]"
24,4,20,['A+0'],2,C+0,0,"[2, 1, 3, 5]"
3,0,20,['A+0'],2,C+0,0,"[0, 4, 6, 7]"
22,4,20,['A+0'],2,C+0,1,"[2, 1, 3, 5]"
34,4,20,['A+0'],2,C+0,0,"[2, 1, 3, 5]"
29,1,20,['A+0'],2,C+0,0,"[1, 3, 0, 4]"
12,0,20,['A+0'],2,C+0,0,"[0, 4, 6, 7]"
32,4,20,['A+0'],2,C+0,0,"[2, 1, 3, 5]"
14,0,20,['A+0'],2,C+0,0,"[0, 4, 6, 7]"
28,4,20,['A+0'],2,C+0,0,"[2, 1, 3, 5]"
16,0,20,['A+0'],2,C+0,0,"[0, 4, 6, 7]"
5,0,20,['A+0'],2,C+0,0,"[0, 4, 6, 7]"
25,0,20,['A+0'],2,C+0,0,"[0, 4, 6, 7]"
