id,version,seed_id,zoo_id,n_example,canvasdata,actiondata,gen_code_18
0,1.0,3.0,17.0,6.0,"[{'id': 'prim0', 'transformstr': 't540,300s3,3,0,0'}, {'id': 'prim1', 'transformstr': 't600,300s3,3,0,0'}]","[{'create': 'prim0'}, {'create': 'prim1'}]",AB0+180
0,1.0,3.0,2.0,6.0,"[{'id': 'prim1', 'transformstr': 't600,360s3,3,0,0'}, {'id': 'prim0', 'transformstr': 't780,300r90,0,0s3,3,0,0'}]","[{'create': 'prim0'}, {'create': 'prim1'}, {'rotate': 'prim0'}]",AB0+270
0,1.0,3.0,5.0,6.0,"[{'id': 'prim0', 'transformstr': 't600,240s3,3,0,0'}, {'id': 'prim0', 'transformstr': 't540,300s3,3,0,0'}]","[{'create': 'prim0'}, {'create': 'prim0'}]",AA0+0
0,1.0,3.0,1.0,6.0,"[{'id': 'prim0', 'transformstr': 't660,240s3,3,0,0'}, {'id': 'prim1', 'transformstr': 't600,180s3,3,0,0'}]","[{'create': 'prim1'}, {'create': 'prim0'}]",AB6+0
0,1.0,3.0,18.0,6.0,"[{'id': 'prim0', 'transformstr': 't540,240s3,3,0,0'}, {'id': 'prim1', 'transformstr': 't480,240s3,3,0,0'}]","[{'create': 'prim0'}, {'create': 'prim1'}]",AB7+0
0,1.0,3.0,0.0,6.0,"[{'id': 'prim0', 'transformstr': 't720,420r180,0,0s3,3,0,0'}]","[{'create': 'prim0'}, {'rotate': 'prim0'}, {'rotate': 'prim0'}]",A+180
0,1.0,3.0,9.0,6.0,"[{'id': 'prim3', 'transformstr': 't600,180s3,3,0,0'}, {'id': 'prim0', 'transformstr': 't480,240s3,3,0,0'}, {'id': 'prim0', 'transformstr': 't420,300s3,3,0,0'}]","[{'create': 'prim0'}, {'create': 'prim0'}, {'create': 'prim3'}]",AA0D3+180
0,1.0,3.0,6.0,6.0,"[{'id': 'prim2', 'transformstr': 't480,240s3,3,0,0'}, {'id': 'prim3', 'transformstr': 't420,360r-90,0,0s3,3,0,0'}]","[{'create': 'prim2'}, {'create': 'prim3'}, {'rotate': 'prim3'}, {'rotate': 'prim3'}, {'rotate': 'prim3'}]",CD0+0
0,1.0,3.0,3.0,6.0,"[{'id': 'prim0', 'transformstr': 't540,300s3,3,0,0'}, {'id': 'prim1', 'transformstr': 't600,540r-90,0,0s3,3,0,0'}]","[{'create': 'prim0'}, {'create': 'prim1'}, {'rotate': 'prim1'}, {'rotate': 'prim1'}, {'rotate': 'prim1'}, {'rotate': 'prim1'}, {'rotate': 'prim1'}, {'rotate': 'prim1'}, {'rotate': 'prim1'}, {'rotate': 'prim1'}, {'rotate': 'prim1'}, {'rotate': 'prim1'}, {'rotate': 'prim1'}]",AB14+0
0,1.0,3.0,7.0,6.0,"[{'id': 'prim0', 'transformstr': 't660,360s3,3,0,0'}, {'id': 'prim2', 'transformstr': 't600,300s3,3,0,0'}, {'id': 'prim2', 'transformstr': 't720,360s3,3,0,0'}]","[{'create': 'prim0'}, {'create': 'prim2'}, {'create': 'prim2'}]",AC3C0+0
